exit_n,time,run
104,32.349999999999234,6
105,32.82499999999921,6
106,33.199999999999186,6
107,33.549999999999166,6
108,33.64999999999916,6
109,33.87499999999915,6
110,34.074999999999136,6
111,34.49999999999911,6
112,34.57499999999911,6
113,35.19999999999907,6
114,35.22499999999907,6
115,35.82499999999904,6
116,35.92499999999903,6
117,36.224999999999014,6
118,36.399999999999004,6
119,36.94999999999897,6
120,37.12499999999896,6
121,37.599999999998936,6
122,37.87499999999892,6
123,38.37499999999889,6
124,38.42499999999889,6
125,38.72499999999887,6
126,39.14999999999885,6
127,39.374999999998835,6
128,39.82499999999881,6
129,39.9999999999988,6
130,40.19999999999879,6
131,40.54999999999877,6
132,40.64999999999876,6
133,40.99999999999874,6
134,41.19999999999873,6
135,41.42499999999872,6
136,41.849999999998694,6
137,41.94999999999869,6
138,42.79999999999864,6
139,42.874999999998636,6
140,43.09999999999862,6
141,43.424999999998604,6
142,43.924999999998576,6
143,44.07499999999857,6
144,44.32499999999855,6
145,44.57499999999854,6
146,44.87499999999852,6
147,45.374999999998494,6
148,45.724999999998474,6
149,45.92499999999846,6
150,46.09999999999845,6
151,46.19999999999845,6
152,46.64999999999842,6
153,46.774999999998414,6
154,47.299999999998384,6
155,47.449999999998376,6
156,47.57499999999837,6
157,47.94999999999835,6
158,48.324999999998326,6
159,48.499999999998316,6
160,48.94999999999829,6
161,49.09999999999828,6
162,49.12499999999828,6
163,49.82499999999824,6
164,49.99999999999823,6
165,50.39999999999821,6
166,50.5249999999982,6
167,50.87499999999818,6
168,51.349999999998154,6
169,51.39999999999815,6
170,51.77499999999813,6
171,52.199999999998106,6
172,52.42499999999809,6
173,52.77499999999807,6
174,53.19999999999805,6
175,53.19999999999805,6
176,53.47499999999803,6
177,53.87499999999801,6
178,54.074999999998,6
179,54.57499999999797,6
180,54.72499999999796,6
181,54.77499999999796,6
182,55.32499999999793,6
183,55.44999999999792,6
184,55.49999999999792,6
185,56.14999999999788,6
186,56.29999999999787,6
187,56.29999999999787,6
188,57.149999999997824,6
189,57.22499999999782,6
190,57.499999999997804,6
191,58.349999999997756,6
192,58.84999999999773,6
193,58.92499999999772,6
194,59.3749999999977,6
195,59.82499999999767,6
196,60.149999999997654,6
197,60.72499999999762,6
198,61.1249999999976,6
199,61.62499999999757,6
0,0.15,7
1,1.4999999999999987,7
2,1.5749999999999984,7
3,2.6249999999999947,7
4,2.6499999999999946,7
5,3.699999999999991,7
6,3.99999999999999,7
7,4.399999999999995,7
8,5.050000000000004,7
9,5.125000000000005,7
10,5.575000000000012,7
11,5.875000000000016,7
12,5.925000000000017,7
13,6.575000000000026,7
14,6.650000000000027,7
15,7.200000000000035,7
16,7.450000000000038,7
17,7.450000000000038,7
18,8.025000000000047,7
19,8.075000000000047,7
20,8.650000000000055,7
21,9.00000000000006,7
22,9.300000000000065,7
23,9.350000000000065,7
24,9.875000000000073,7
25,10.150000000000077,7
26,10.35000000000008,7
27,10.625000000000083,7
28,10.750000000000085,7
29,11.175000000000091,7
30,11.375000000000094,7
31,11.900000000000102,7
32,11.975000000000103,7
33,12.175000000000106,7
34,12.600000000000112,7
35,12.675000000000113,7
36,13.025000000000118,7
37,13.300000000000122,7
38,13.575000000000125,7
39,13.775000000000128,7
40,14.200000000000134,7
41,14.400000000000137,7
42,14.675000000000141,7
43,15.150000000000148,7
44,15.32500000000015,7
45,15.550000000000153,7
46,15.775000000000157,7
47,16.250000000000146,7
48,16.50000000000013,7
49,16.55000000000013,7
50,17.0500000000001,7
51,17.25000000000009,7
52,17.475000000000076,7
53,17.75000000000006,7
54,18.075000000000042,7
55,18.350000000000026,7
56,18.500000000000018,7
57,18.725000000000005,7
58,19.274999999999974,7
59,19.549999999999958,7
60,19.649999999999952,7
61,20.299999999999915,7
62,20.449999999999907,7
63,20.5499999999999,7
64,20.624999999999897,7
65,21.524999999999846,7
66,21.749999999999833,7
67,21.749999999999833,7
68,22.14999999999981,7
69,22.474999999999792,7
70,22.52499999999979,7
71,23.149999999999753,7
72,23.449999999999736,7
73,23.54999999999973,7
74,23.599999999999728,7
75,24.324999999999687,7
76,24.499999999999677,7
77,24.524999999999675,7
78,24.899999999999654,7
79,25.449999999999623,7
80,25.624999999999613,7
81,26.19999999999958,7
82,26.274999999999576,7
83,26.624999999999556,7
84,26.649999999999554,7
85,26.824999999999545,7
86,27.374999999999513,7
87,27.849999999999486,7
88,28.099999999999472,7
89,28.349999999999458,7
90,28.64999999999944,7
91,29.02499999999942,7
92,29.274999999999405,7
93,29.574999999999388,7
94,30.04999999999936,7
95,30.07499999999936,7
96,30.199999999999353,7
97,30.824999999999317,7
98,30.824999999999317,7
99,30.94999999999931,7
100,31.374999999999286,7
101,31.699999999999267,7
102,31.699999999999267,7
103,32.29999999999924,7
104,32.29999999999924,7
105,32.74999999999921,7
106,32.9999999999992,7
107,33.549999999999166,7
108,33.574999999999164,7
109,33.64999999999916,7
110,34.52499999999911,7
111,34.599999999999106,7
112,34.89999999999909,7
113,35.149999999999075,7
114,35.22499999999907,7
115,36.199999999999015,7
116,36.224999999999014,7
117,36.224999999999014,7
118,36.32499999999901,7
119,36.899999999998975,7
120,37.34999999999895,7
121,37.52499999999894,7
122,37.799999999998924,7
123,38.34999999999889,7
124,38.474999999998886,7
125,38.59999999999888,7
126,39.24999999999884,7
127,39.29999999999884,7
128,39.44999999999883,7
129,40.074999999998795,7
130,40.249999999998785,7
131,40.27499999999878,7
132,40.89999999999875,7
133,41.02499999999874,7
134,41.37499999999872,7
135,41.59999999999871,7
136,41.849999999998694,7
137,42.174999999998676,7
138,42.67499999999865,7
139,42.724999999998644,7
140,43.17499999999862,7
141,43.67499999999859,7
142,43.84999999999858,7
143,44.22499999999856,7
144,44.299999999998555,7
145,44.59999999999854,7
146,45.12499999999851,7
